code,system
1594.00,readv2
K51..00,readv2
102653.0,med
105178.0,med
1057.0,med
10888.0,med
12359.0,med
12845.0,med
1345.0,med
17481.0,med
1903.0,med
211.0,med
22659.0,med
22757.0,med
2285.0,med
23941.0,med
24299.0,med
25278.0,med
25974.0,med
2846.0,med
30419.0,med
33440.0,med
37185.0,med
37373.0,med
37790.0,med
37918.0,med
3986.0,med
41136.0,med
41895.0,med
42057.0,med
4575.0,med
47681.0,med
53883.0,med
6819.0,med
6882.0,med
7175.0,med
73219.0,med
7870.0,med
9356.0,med
96896.0,med
97649.0,med
7D17.00,readv2
7D17y00,readv2
7D17z00,readv2
7D18.00,readv2
7D18500,readv2
7D18z00,readv2
7D19.00,readv2
7D19000,readv2
7D19100,readv2
7D19200,readv2
7D19400,readv2
7D19500,readv2
7D19600,readv2
7D19700,readv2
7D19z00,readv2
7D1B.00,readv2
7D1B000,readv2
7D1B100,readv2
7D1B300,readv2
7D1B500,readv2
7D1B600,readv2
7D1By00,readv2
7D1Bz00,readv2
K510.00,readv2
K510z00,readv2
K511.00,readv2
K511z00,readv2
K512.00,readv2
K513.00,readv2
K515.00,readv2
K516.00,readv2
K516100,readv2
K516z00,readv2
SP07900,readv2
7D17.11,readv2
K510100,readv2
K510211,readv2
K510300,readv2
K511.11,readv2
K513.11,readv2
7D17000,readv2
7D17200,readv2
7D18000,readv2
7D18011,readv2
7D18200,readv2
7D18211,readv2
7D17100,readv2
7D18100,readv2
7D18111,readv2
7D17111,readv2
K51y.00,readv2
K51yz00,readv2
Kyu9100,readv2
7D17z11,readv2
7D18.11,readv2
7D18400,readv2
7D18300,readv2
7D18311,readv2
7D18312,readv2
7D18600,readv2
7D18700,readv2
7D18800,readv2
7D18y00,readv2
7D19y00,readv2
K510400,readv2
K514.00,readv2
K514000,readv2
7D19300,readv2
7D1A411,readv2
7D1B200,readv2
7D1B400,readv2
K510000,readv2
K519.00,readv2
K510200,readv2
K518.00,readv2
K511000,readv2
K512000,readv2
K511100,readv2
K512100,readv2
K511200,readv2
K513000,readv2
K516.11,readv2
K517.00,readv2
K51y300,readv2
K51y000,readv2
K51y100,readv2
K51z.00,readv2
9803.0,med
11863.0,med
12255.0,med
14872.0,med
15703.0,med
16175.0,med
1652.0,med
17020.0,med
1750.0,med
18606.0,med
18931.0,med
19050.0,med
2060.0,med
20632.0,med
21695.0,med
2286.0,med
2287.0,med
2447.0,med
2576.0,med
27604.0,med
28040.0,med
28602.0,med
3145.0,med
33955.0,med
3420.0,med
37274.0,med
4163.0,med
4233.0,med
44748.0,med
46339.0,med
48218.0,med
5004.0,med
52417.0,med
5351.0,med
5669.0,med
57237.0,med
631.0,med
66379.0,med
67132.0,med
69708.0,med
72070.0,med
7919.0,med
826.0,med
83479.0,med
83494.0,med
84375.0,med
89708.0,med
89963.0,med
9071.0,med
96345.0,med
N81,icd10